,job,marital,education,default,housing,loan,contact,month,y,age,balance,day,duration,campaign
51,1,2,3,0,1,0,0,5,0,48,-244,5,253,1
52,1,1,3,0,1,0,0,5,0,32,0,5,179,1
53,6,0,2,0,1,0,0,5,0,42,-76,5,787,1
54,2,0,2,0,1,1,0,5,0,24,-103,5,145,1
55,3,0,3,0,0,1,0,5,0,38,243,5,174,1
56,1,0,3,0,1,0,0,5,0,38,424,5,104,1
57,4,1,0,0,1,0,0,5,0,47,306,5,13,1
58,4,0,0,0,1,0,0,5,0,40,24,5,185,1
59,7,1,1,0,1,0,0,5,0,46,179,5,1778,1
60,6,1,3,0,1,0,0,5,0,32,0,5,138,1
61,2,2,2,0,1,0,0,5,0,53,989,5,812,1
62,4,1,1,0,1,0,0,5,0,57,249,5,164,1
63,7,1,2,0,1,0,0,5,0,33,790,5,391,1
64,4,1,0,0,1,0,0,5,0,49,154,5,357,1
65,1,1,3,0,1,0,0,5,0,51,6530,5,91,1
66,5,1,3,0,0,0,0,5,0,60,100,5,528,1
67,1,2,3,0,1,0,0,5,0,59,59,5,273,1
68,2,1,2,0,1,0,0,5,0,55,1205,5,158,2
69,4,0,2,0,1,1,0,5,0,35,12223,5,177,1
70,4,1,2,0,1,1,0,5,0,57,5935,5,258,1
71,7,1,2,0,1,1,0,5,0,31,25,5,172,1
72,1,1,2,0,1,1,0,5,0,54,282,5,154,1
73,4,1,1,0,1,0,0,5,0,55,23,5,291,1
74,2,1,2,0,1,0,0,5,0,43,1937,5,181,1
75,2,1,2,0,1,0,0,5,0,53,384,5,176,1
76,4,1,2,0,0,1,0,5,0,44,582,5,211,1
77,7,2,2,0,0,0,0,5,0,55,91,5,349,1
78,7,2,2,0,1,1,0,5,0,49,0,5,272,1
79,7,2,2,1,1,0,0,5,0,55,1,5,208,1
80,6,0,2,0,1,0,0,5,0,45,206,5,193,1
81,7,2,2,0,0,0,0,5,0,47,164,5,212,1
82,2,0,2,0,1,0,0,5,0,42,690,5,20,1
83,6,1,2,0,1,0,0,5,1,59,2343,5,1042,1
84,8,1,3,0,1,1,0,5,0,46,137,5,246,1
85,4,1,1,0,1,0,0,5,0,51,173,5,529,2
86,6,1,2,0,0,0,0,5,1,56,45,5,1467,1
87,2,1,2,0,1,0,0,5,1,41,1270,5,1389,1
88,1,2,2,0,1,1,0,5,0,46,16,5,188,2
89,5,1,2,0,1,0,0,5,0,57,486,5,180,2
90,1,0,2,0,0,0,0,5,0,42,50,5,48,1
91,2,1,2,0,1,1,0,5,0,30,152,5,213,2
92,6,1,2,0,1,0,0,5,0,60,290,5,583,1
93,4,1,0,0,1,0,0,5,0,60,54,5,221,1
94,3,2,2,0,0,0,0,5,0,57,-37,5,173,1
95,1,1,3,0,1,1,0,5,0,36,101,5,426,1
96,4,1,2,0,0,0,0,5,0,55,383,5,287,1
97,5,1,3,0,1,0,0,5,0,60,81,5,101,1
98,2,1,2,0,1,0,0,5,0,39,0,5,203,1
99,1,1,3,0,1,0,0,5,0,46,229,5,197,1
100,4,1,2,0,1,0,0,5,0,44,-674,5,257,1
101,4,1,1,0,0,0,0,5,0,53,90,5,124,1
102,4,1,1,0,1,0,0,5,0,52,128,5,229,1
103,4,1,1,0,1,0,0,5,0,59,179,5,55,3
104,2,0,3,0,1,0,0,5,0,27,0,5,400,1
105,4,1,2,0,1,0,0,5,0,44,54,5,197,1
106,2,1,3,0,1,0,0,5,0,47,151,5,190,1
107,6,1,2,0,0,1,0,5,0,34,61,5,21,1
108,5,0,2,0,1,0,0,5,0,59,30,5,514,1
109,1,1,3,0,1,0,0,5,0,45,523,5,849,2
110,7,2,2,0,1,0,0,5,0,29,31,5,194,1
111,2,2,2,0,0,0,0,5,0,46,79,5,144,1
112,8,1,1,0,1,1,0,5,0,56,-34,5,212,2
113,4,1,1,0,1,0,0,5,0,36,448,5,286,1
114,5,2,1,0,1,0,0,5,0,59,81,5,107,1
115,4,1,2,0,1,0,0,5,0,44,144,5,247,2
116,6,1,2,0,1,0,0,5,0,41,351,5,518,1
117,1,0,3,0,1,0,0,5,0,33,-67,5,364,1
118,1,2,3,0,0,0,0,5,0,59,262,5,178,1
119,2,1,1,0,0,0,0,5,0,57,0,5,98,1
120,2,2,0,0,1,0,0,5,0,56,56,5,439,1
121,4,1,2,0,1,0,0,5,0,51,26,5,79,1
122,6,1,0,0,1,0,0,5,0,34,3,5,120,3
123,7,1,2,0,1,1,0,5,0,43,41,5,127,2
124,2,1,3,0,0,1,0,5,0,52,7,5,175,1
125,2,0,2,0,1,0,0,5,0,33,105,5,262,2
126,6,0,2,0,1,1,0,5,0,29,818,5,61,1
127,7,1,2,0,1,1,0,5,0,34,-16,5,78,1
128,4,1,2,0,1,0,0,5,0,31,0,5,143,1
129,7,1,2,0,1,0,0,5,1,55,2476,5,579,1
130,1,1,0,0,0,0,0,5,0,55,1185,5,677,1
131,6,0,2,0,1,0,0,5,0,32,217,5,345,1
132,2,0,2,0,1,0,0,5,0,38,1685,5,185,1
133,6,0,2,0,1,1,0,5,0,55,802,5,100,2
134,9,0,3,0,1,0,0,5,0,28,0,5,125,2
135,4,1,2,0,1,0,0,5,0,23,94,5,193,1
136,2,0,2,0,1,0,0,5,0,32,0,5,136,1
137,7,0,0,0,0,0,0,5,0,43,0,5,73,1
138,4,1,2,0,1,0,0,5,0,32,517,5,528,1
139,4,1,2,0,1,0,0,5,0,46,265,5,541,1
140,10,2,1,0,1,0,0,5,0,53,947,5,163,1
141,8,0,2,0,1,0,0,5,0,34,3,5,301,1
142,9,1,3,0,0,0,0,5,0,57,42,5,46,1
143,4,1,2,0,1,0,0,5,0,37,37,5,204,1
144,4,1,2,0,1,0,0,5,0,59,57,5,98,1
145,7,1,2,0,1,0,0,5,0,33,22,5,71,1
146,4,2,1,0,1,0,0,5,0,56,8,5,157,2
147,9,1,2,0,1,0,0,5,0,48,293,5,243,1
148,7,1,1,0,1,0,0,5,0,43,3,5,186,2
149,4,1,1,0,1,0,0,5,0,54,348,5,579,2
150,4,1,0,0,1,0,0,5,0,51,-19,5,163,2
151,11,0,2,0,1,0,0,5,0,26,0,5,610,2
152,1,1,3,0,1,0,0,5,0,40,-4,5,2033,1
153,1,1,2,0,1,0,0,5,0,39,18,5,85,1
154,2,1,1,0,0,0,0,5,0,50,139,5,114,2
155,7,1,2,0,1,0,0,5,0,41,0,5,114,2
156,4,1,0,0,1,0,0,5,0,51,1883,5,57,1
157,5,2,2,0,1,0,0,5,0,60,216,5,238,1
158,4,1,2,0,1,0,0,5,0,52,782,5,93,3
159,4,1,2,0,1,0,0,5,0,48,904,5,128,2
160,7,1,0,0,1,0,0,5,0,48,1705,5,107,1
161,2,0,3,0,1,0,0,5,0,39,47,5,181,1
162,7,0,2,0,1,0,0,5,0,47,176,5,303,2
163,4,1,2,0,1,0,0,5,0,40,1225,5,558,5
164,2,1,2,0,1,0,0,5,0,45,86,5,270,1
165,6,0,2,0,1,0,0,5,0,26,82,5,228,1
166,1,1,3,0,1,0,0,5,0,52,271,5,99,1
167,2,1,2,0,1,0,0,5,0,54,1378,5,240,1
168,6,1,3,0,0,0,0,5,1,54,184,5,673,2
169,4,1,1,0,0,0,0,5,0,50,0,5,233,3
170,4,1,2,0,1,0,0,5,0,35,0,5,1056,1
171,7,1,2,0,1,1,0,5,0,44,1357,5,250,1
172,3,1,0,0,1,0,0,5,0,53,19,5,252,1
173,5,0,1,0,0,0,0,5,0,35,434,5,138,1
174,6,2,2,0,1,0,0,5,0,60,92,5,130,1
175,6,2,2,0,1,0,0,5,0,53,1151,5,412,1
176,9,1,2,0,1,0,0,5,0,48,41,5,179,2
177,2,1,2,0,1,0,0,5,0,34,51,5,19,2
178,7,1,2,0,1,0,0,5,0,54,214,5,458,2
179,1,1,2,0,1,0,0,5,0,51,1161,5,717,1
180,7,1,3,0,1,0,0,5,0,31,37,5,313,1
181,2,2,2,0,1,0,0,5,0,35,787,5,683,2
182,7,1,2,0,1,0,0,5,0,35,59,5,1077,1
183,2,1,2,0,1,0,0,5,0,38,253,5,416,1
184,6,1,3,0,1,0,0,5,0,36,211,5,146,2
185,5,1,1,0,1,0,0,5,0,58,235,5,167,1
186,7,2,0,0,1,0,0,5,0,40,4384,5,315,1
187,1,1,2,0,0,0,0,5,0,54,4080,5,140,1
188,4,0,2,0,1,1,0,5,0,34,53,5,346,1
189,1,0,3,0,1,0,0,5,0,31,0,5,562,1
190,5,1,2,0,1,0,0,5,0,51,2127,5,172,1
191,1,1,3,0,1,0,0,5,0,33,377,5,217,1
192,1,1,3,0,1,0,0,5,0,55,73,5,142,2
193,6,1,2,0,1,0,0,5,0,42,445,5,67,1
194,4,1,2,0,1,0,0,5,0,34,243,5,291,1
195,4,0,2,0,1,0,0,5,0,33,307,5,309,2
196,7,1,2,0,1,0,0,5,0,38,155,5,248,1
197,2,2,3,0,0,1,0,5,0,50,173,5,98,1
198,1,1,3,0,1,0,0,5,0,43,400,5,256,1
199,4,2,1,0,1,0,0,5,0,61,1428,5,82,2
200,6,1,2,0,1,0,0,5,0,47,219,5,577,1
201,8,1,3,0,1,0,0,5,0,48,7,5,286,1
202,4,1,2,0,1,0,0,5,0,44,575,5,477,1
203,11,0,0,0,1,0,0,5,0,35,298,5,611,2
204,7,1,2,0,1,0,0,5,0,35,0,5,471,1
205,7,1,2,0,1,0,0,5,0,50,5699,5,381,2
206,1,1,3,0,1,1,0,5,0,41,176,5,42,1
207,1,1,3,0,1,0,0,5,0,41,517,5,251,1
208,7,0,0,0,1,0,0,5,0,39,257,5,408,1
209,5,1,2,0,1,0,0,5,0,42,56,5,215,1
210,4,1,2,0,1,0,0,5,0,38,-390,5,287,1
211,5,1,2,0,1,0,0,5,0,53,330,5,216,2
212,10,2,1,0,0,0,0,5,0,59,195,5,366,2
213,7,1,2,0,1,0,0,5,0,36,301,5,210,1
214,4,1,1,0,1,0,0,5,0,54,-41,5,288,1
215,2,1,3,0,1,0,0,5,0,40,483,5,168,1
216,0,1,0,0,0,0,0,5,0,47,28,5,338,2
217,9,1,0,0,0,0,0,5,0,53,13,5,410,3
218,10,1,1,0,0,0,0,5,0,46,965,5,177,1
219,1,1,3,0,1,1,0,5,0,39,378,5,127,2
220,9,1,2,0,1,0,0,5,0,40,219,5,357,1
221,4,1,1,0,1,0,0,5,0,28,324,5,175,1
222,3,2,2,0,1,0,0,5,0,35,-69,5,300,1
223,5,1,2,0,0,1,0,5,0,55,0,5,136,1
224,2,2,0,0,1,0,0,5,0,43,205,5,1419,1
225,4,1,1,0,1,0,0,5,0,48,278,5,125,2
226,1,1,0,0,1,0,0,5,0,58,1065,5,213,3
227,1,0,3,0,1,0,0,5,0,33,34,5,27,1
228,4,1,0,0,0,0,0,5,0,36,1033,5,238,2
229,7,2,2,0,1,0,0,5,0,53,1467,5,124,1
230,4,1,1,0,1,0,0,5,0,47,-12,5,18,1
231,7,1,2,0,1,0,0,5,0,31,388,5,730,2
232,3,1,2,0,1,0,0,5,0,57,294,5,746,2
233,4,1,0,0,0,0,0,5,0,53,1827,5,121,1
234,4,1,1,0,1,0,0,5,0,55,627,5,247,1
235,4,1,1,0,1,0,0,5,0,45,25,5,40,1
236,6,2,2,0,1,0,0,5,0,53,315,5,181,2
237,4,1,1,0,1,0,0,5,0,37,0,5,79,1
238,6,2,2,0,1,0,0,5,0,44,66,5,206,1
239,4,2,1,0,1,1,0,5,0,49,-9,5,389,1
240,2,1,2,0,1,1,0,5,0,46,349,5,127,1
241,3,1,0,0,1,0,0,5,0,43,100,5,702,1
242,6,1,2,0,0,0,0,5,0,38,0,5,151,1
243,2,1,2,0,1,0,0,5,0,43,434,5,117,1
244,1,1,3,0,1,0,0,5,0,49,3237,5,232,3
245,1,1,0,0,0,0,0,5,0,42,275,5,408,2
246,4,0,2,0,1,0,0,5,0,22,0,5,179,2
247,1,1,3,0,1,0,0,5,0,40,207,5,39,1
248,4,1,2,0,1,0,0,5,0,39,483,5,282,1
249,7,1,2,0,1,0,0,5,0,51,2248,5,714,2
250,6,1,2,0,1,0,0,5,0,49,428,5,50,1
251,4,1,2,0,1,1,0,5,0,53,0,5,181,1
252,7,0,2,0,1,0,0,5,0,34,0,5,142,1
253,2,2,2,0,1,0,0,5,0,33,140,5,227,1
254,1,0,3,0,1,0,0,5,0,50,297,5,119,1
255,4,1,1,0,1,0,0,5,0,39,279,5,361,1
256,3,2,2,0,1,0,0,5,0,59,901,5,73,3
257,2,0,2,0,1,0,0,5,0,30,2573,5,67,2
258,7,1,2,0,1,1,0,5,0,36,143,5,350,1
259,4,1,2,0,1,0,0,5,0,40,475,5,332,2
260,4,1,2,0,1,0,0,5,0,53,70,5,611,2
261,1,0,3,0,1,0,0,5,0,34,318,5,113,2
262,2,1,2,0,1,0,0,5,0,37,275,5,132,1
263,1,2,3,0,1,0,0,5,0,42,742,5,58,3
264,3,1,1,0,1,0,0,5,0,41,236,5,151,1
265,11,0,3,0,1,0,0,5,0,30,25,5,89,2
266,1,0,3,0,1,0,0,5,0,37,600,5,152,1
267,6,2,2,0,1,0,0,5,0,39,-349,5,611,2
268,4,1,1,0,1,1,0,5,0,41,183,5,110,2
269,4,1,1,0,1,0,0,5,0,40,0,5,463,1
270,1,0,3,0,1,1,0,5,1,42,0,5,562,2
271,4,2,1,0,1,0,0,5,0,40,0,5,962,1
272,2,1,2,0,1,0,0,5,0,57,1078,5,10,4
273,3,2,2,0,0,0,0,5,0,56,155,5,118,3
274,6,1,2,0,1,0,0,5,0,37,190,5,92,2
275,5,1,2,0,1,0,0,5,0,59,319,5,143,3
276,7,2,2,0,1,0,0,5,0,39,-185,5,189,3
277,7,1,2,0,0,0,0,5,0,49,47,5,234,2
278,7,0,2,0,1,0,0,5,0,38,570,5,75,2
279,8,1,3,0,0,0,0,5,0,36,19,5,189,2
280,4,1,1,0,1,0,0,5,0,50,61,5,621,3
281,6,1,2,0,1,1,0,5,0,41,-62,5,55,2
282,2,1,3,0,0,0,0,5,0,54,258,5,310,4
283,4,1,1,0,1,0,0,5,0,58,76,5,156,2
284,4,0,2,0,1,0,0,5,0,30,0,5,5,2
285,6,0,2,0,1,0,0,5,0,33,352,5,225,2
286,6,1,2,0,1,0,0,5,0,47,368,5,125,2
287,2,0,3,0,1,0,0,5,0,50,339,5,2,3
288,4,1,2,0,1,0,0,5,0,32,1331,5,286,2
289,8,1,2,0,1,0,0,5,0,40,672,5,164,2
290,1,1,3,0,1,0,0,5,0,37,58,5,98,2
291,2,0,0,0,1,0,0,5,0,54,447,5,742,2
292,11,0,2,0,1,0,0,5,0,24,423,5,226,3
293,1,1,3,0,0,0,0,5,0,54,0,5,120,2
294,2,1,2,0,1,0,0,5,0,34,19,5,362,4
295,2,2,1,0,1,0,0,5,0,56,13,5,357,2
296,4,0,2,0,1,0,0,5,0,31,3,5,200,2
297,11,0,2,0,1,0,0,5,0,24,82,5,204,2
298,4,2,1,0,1,0,0,5,0,42,28,5,126,3
299,2,1,2,0,1,0,0,5,0,57,792,5,65,2
300,4,1,0,0,1,0,0,5,0,42,408,5,107,2
301,6,1,2,0,1,0,0,5,0,51,531,5,267,2
302,5,1,2,0,1,0,0,5,0,57,211,5,248,2
303,7,0,2,0,1,0,0,5,0,36,62,5,215,2
304,7,1,0,0,1,0,0,5,0,53,257,5,209,2
305,2,1,2,0,1,0,0,5,0,50,1234,5,205,2
306,1,1,3,0,1,0,0,5,0,54,313,5,83,2
307,4,1,2,0,1,0,0,5,0,55,89,5,106,3
308,4,1,2,0,1,1,0,5,0,44,129,5,189,2
309,1,1,0,0,1,0,0,5,0,43,0,5,105,2
310,6,1,2,0,1,0,0,5,0,56,353,5,106,2
311,2,1,0,0,1,0,0,5,0,54,851,5,108,2
312,7,2,1,0,1,1,0,5,0,55,96,5,311,2
313,7,2,2,0,1,1,0,5,0,37,398,5,214,2
314,6,0,3,0,0,0,0,5,0,33,193,5,132,2
315,6,1,2,0,1,0,0,5,0,46,-358,5,358,2
316,4,1,2,0,1,1,0,5,0,36,539,5,453,2
317,2,0,2,0,1,0,0,5,0,51,0,5,364,2
318,5,0,1,0,0,0,0,5,0,40,0,5,136,2
319,4,1,2,0,1,0,0,5,0,42,490,5,386,2
320,4,1,2,0,1,0,0,5,0,51,0,5,173,2
321,4,1,0,0,1,0,0,5,0,49,403,5,241,2
322,1,1,2,0,1,0,0,5,0,48,161,5,224,3
323,2,2,3,0,0,0,0,5,0,32,2558,5,148,2
324,6,0,2,0,1,0,0,5,0,31,98,5,196,2
325,1,0,3,0,0,0,0,5,0,55,115,5,111,4
326,4,0,2,0,1,0,0,5,0,40,436,5,231,3
327,2,1,3,0,1,0,0,5,0,47,831,5,316,3
328,2,1,0,0,1,0,0,5,0,57,206,5,216,3
329,4,1,2,0,1,0,0,5,0,41,290,5,240,2
330,4,1,2,0,0,0,0,5,0,48,1,5,669,3
331,4,1,0,0,1,0,0,5,0,42,57,5,425,2
332,4,0,2,0,1,0,0,5,0,30,-457,5,143,2
333,1,0,3,0,1,0,0,5,0,58,1387,5,174,5
334,1,2,3,0,1,0,0,5,0,45,24598,5,313,3
335,4,1,2,0,1,0,0,5,0,49,30,5,135,4
336,6,0,2,0,1,0,0,5,0,42,1022,5,146,2
337,2,1,2,0,1,1,0,5,0,53,56,5,152,2
338,6,0,2,1,0,0,0,5,0,51,-2,5,402,3
339,7,0,2,0,1,0,0,5,0,32,121,5,213,2
340,4,0,2,0,1,0,0,5,0,41,842,5,144,3
341,1,2,2,0,1,0,0,5,0,43,693,5,124,3
342,4,2,2,0,1,0,0,5,0,40,-333,5,183,2
343,4,1,1,0,1,0,0,5,0,50,1533,5,325,2
344,1,1,3,0,1,0,0,5,0,34,46,5,39,4
345,7,1,0,0,0,0,0,5,0,53,18,5,503,2
346,2,1,2,0,1,0,0,5,0,45,44,5,95,4
347,4,1,1,0,1,0,0,5,0,39,-100,5,680,2
348,7,1,3,0,1,0,0,5,0,44,510,5,421,4
349,1,1,3,0,1,0,0,5,0,55,685,5,174,3
350,1,0,3,0,1,0,0,5,0,46,187,5,113,2
351,4,1,2,0,1,0,0,5,0,45,66,5,808,2
352,6,1,2,0,1,0,0,5,0,34,560,5,198,3
353,4,1,2,0,1,0,0,5,0,36,0,5,195,2
354,0,2,0,0,0,0,0,5,0,59,27,5,347,3
355,6,0,2,0,1,0,0,5,0,31,12,5,208,2
356,4,0,2,0,1,0,0,5,0,44,34,5,404,4
357,3,0,3,0,1,0,0,5,0,33,1068,5,396,2
358,4,1,2,0,1,0,0,5,0,40,211,5,216,4
359,6,0,3,0,1,0,0,5,0,46,377,5,98,2
360,1,1,3,0,1,0,0,5,0,48,263,5,350,2
361,7,1,2,0,1,0,0,5,0,42,1263,6,114,2
362,7,1,2,0,1,0,0,5,0,27,8,6,88,3
363,6,1,2,0,1,1,0,5,0,48,126,6,379,2
364,6,1,2,0,1,0,0,5,0,59,230,6,190,3
365,2,1,3,0,1,0,0,5,0,46,841,6,158,1
366,6,2,2,0,1,0,0,5,0,38,308,6,102,1
367,1,2,3,0,1,0,0,5,0,43,1,6,306,1
368,6,2,3,0,1,0,0,5,0,38,86,6,218,1
369,11,0,2,0,1,0,0,5,0,23,157,6,54,1
370,7,1,2,0,1,0,0,5,0,34,22,6,344,1
371,6,1,2,0,1,1,0,5,0,38,46,6,195,1
372,4,1,2,0,0,0,0,5,0,37,1293,6,652,1
373,6,0,2,0,1,0,0,5,0,25,122,6,286,1
374,4,1,0,0,1,0,0,5,0,48,131,6,189,1
375,4,0,2,0,1,0,0,5,0,49,143,6,83,1
376,6,0,2,0,0,0,0,5,0,38,393,6,184,2
377,4,1,1,0,1,0,0,5,0,43,98,6,235,1
378,1,1,3,0,1,0,0,5,0,33,0,6,290,1
379,4,1,2,0,1,0,0,5,0,55,224,6,232,1
380,4,1,2,0,1,0,0,5,0,38,757,6,133,1
381,7,1,2,0,1,1,0,5,0,49,245,6,318,1
382,1,1,2,0,0,0,0,5,0,40,8486,6,260,3
383,6,1,0,0,0,0,0,5,0,43,350,6,437,1
384,4,1,2,0,1,0,0,5,0,38,20,6,402,1
385,7,1,2,0,1,1,0,5,0,58,1667,6,85,1
386,2,1,0,0,1,0,0,5,0,57,345,6,125,1
387,9,1,2,0,1,0,0,5,0,32,10,6,501,4
388,1,1,3,0,1,1,0,5,1,56,830,6,1201,1
389,4,2,0,0,1,0,0,5,0,58,29,6,253,1
390,5,2,2,0,1,0,0,5,1,60,545,6,1030,1
391,2,1,3,0,1,0,0,5,0,37,8730,6,149,1
392,2,2,3,0,1,0,0,5,0,46,477,6,114,1
393,6,1,2,0,1,0,0,5,0,27,4,6,243,1
394,4,1,2,0,1,0,0,5,0,43,1205,6,769,2
395,2,0,2,0,1,1,0,5,0,32,0,6,135,3
396,6,0,2,0,1,0,0,5,0,40,263,6,231,1
397,6,1,2,0,0,0,0,5,0,38,1,6,76,1
398,4,1,2,0,0,1,0,5,0,34,283,6,199,1
399,4,1,1,0,1,0,0,5,0,47,206,6,152,1
400,10,1,1,0,1,0,0,5,0,42,17,6,124,1
401,2,1,2,0,1,1,0,5,0,48,141,6,424,1
402,8,0,3,0,1,0,0,5,0,29,16,6,43,1
403,7,1,2,0,1,0,0,5,0,50,206,6,154,1
404,2,1,0,0,0,0,0,5,0,52,7,6,203,2
405,1,1,3,0,0,0,0,5,0,50,0,6,326,1
406,5,1,3,0,0,0,0,5,0,58,0,6,393,1
407,4,2,1,0,1,0,0,5,0,46,1927,6,241,3
408,2,1,2,0,1,0,0,5,0,38,284,6,483,1
409,4,1,2,0,1,0,0,5,0,46,1660,6,259,1
410,7,0,2,0,1,0,0,5,0,32,406,6,227,1
411,4,1,1,0,1,0,0,5,0,51,230,6,673,1
412,6,0,2,0,1,0,0,5,0,39,-25,6,576,1
413,6,1,2,0,1,0,0,5,0,48,182,6,180,2
414,3,1,3,0,1,0,0,5,0,36,1169,6,168,2
415,6,2,2,0,1,0,0,5,0,34,67,6,90,1
416,2,1,2,0,0,0,0,5,0,40,77,6,505,1
417,9,1,2,0,1,0,0,5,0,43,0,6,245,1
418,4,2,1,0,1,1,0,5,0,52,55,6,186,1
419,2,1,2,1,1,0,0,5,0,33,72,6,623,1
420,1,0,3,0,1,0,0,5,0,49,163,6,496,3
421,1,0,3,0,1,0,0,5,0,32,151,6,118,1
422,6,0,2,0,1,0,0,5,0,39,113,6,342,1
423,4,1,2,0,1,0,0,5,0,40,0,6,225,1
424,2,0,3,0,1,0,0,5,0,38,9,6,185,3
425,1,1,2,0,1,0,0,5,0,43,375,6,196,2
426,7,1,2,0,1,0,0,5,0,39,1142,6,276,1
427,4,1,1,0,1,0,0,5,0,54,2102,6,76,1
428,2,0,3,0,1,0,0,5,0,38,4325,6,87,1
429,4,1,2,0,1,0,0,5,0,40,217,6,195,1
430,6,1,2,0,1,0,0,5,0,55,131,6,744,1
431,1,1,3,0,1,0,0,5,0,42,1680,6,765,1
432,4,1,2,0,1,0,0,5,0,39,0,6,262,1
433,4,1,1,0,1,0,0,5,0,40,46,6,119,1
434,4,1,2,0,1,0,0,5,0,32,320,6,198,2
435,6,1,2,0,1,0,0,5,0,55,183,6,150,1
436,4,1,2,0,0,0,0,5,0,45,39,6,241,1
437,1,0,3,0,1,0,0,5,0,35,560,6,181,1
438,2,2,2,0,0,0,0,5,0,58,469,6,196,1
439,6,1,2,0,1,0,0,5,0,35,530,6,149,1
440,7,1,1,0,1,0,0,5,0,49,61,6,246,1
441,2,0,3,0,1,0,0,5,0,34,242,6,112,1
442,4,1,2,0,1,0,0,5,0,36,139,6,309,2
443,8,0,2,0,1,0,0,5,0,24,0,6,278,1
444,2,1,2,0,1,0,0,5,0,34,367,6,140,1
445,6,2,2,0,1,0,0,5,0,51,228,6,136,1
446,2,0,0,0,1,0,0,5,1,39,45248,6,1623,1
447,8,1,0,0,1,0,0,5,0,50,-84,6,101,1
448,7,0,2,0,1,0,0,5,0,32,310,6,144,1
449,4,1,0,0,1,0,0,5,0,42,132,6,238,1
450,2,1,2,0,1,0,0,5,0,50,797,6,354,1
451,7,1,2,0,0,0,0,5,0,40,71,6,79,1
452,1,2,0,0,1,0,0,5,0,46,2,6,187,1
453,1,1,3,0,1,1,0,5,0,37,231,6,451,2
454,4,1,2,0,1,1,0,5,0,34,270,6,159,1
455,4,1,2,0,1,1,0,5,0,44,274,6,409,1
456,6,0,2,0,1,1,0,5,0,40,-109,6,170,1
457,2,1,2,0,1,0,0,5,1,37,1,6,608,1
458,4,0,2,1,0,0,0,5,0,33,-60,6,243,1
459,4,1,2,0,1,0,0,5,0,35,89,6,145,2
